config,test_accuracy,test_f1
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=200,0.7695,0.7687
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=150,0.7592,0.7687
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=200,0.7741,0.7685
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=150,0.7511,0.7684
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=200,0.7787,0.7683
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=100,0.7787,0.7677
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=200,0.7534,0.7676
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=200,0.7775,0.7668
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=100,0.7775,0.7668
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=150,0.7626,0.7666
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=100,0.7787,0.7666
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=200,0.7523,0.7657
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=100,0.7718,0.7656
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=100,0.7603,0.7654
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=1 hidden_size=100,0.7798,0.7653
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=200,0.7351,0.765
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=1 hidden_size=200,0.7683,0.7646
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=100,0.7569,0.7629
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=200,0.7683,0.7629
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=100,0.7706,0.7625
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=150,0.7764,0.7619
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=150,0.7683,0.7612
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=100,0.7683,0.7612
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=100,0.7661,0.7611
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=150,0.7752,0.7604
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=200,0.7764,0.7601
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=200,0.7638,0.7599
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=100,0.758,0.7594
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=100,0.7397,0.7593
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=200,0.7844,0.759
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=100,0.7546,0.759
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=200,0.7775,0.7587
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=150,0.7592,0.7581
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=150,0.7672,0.758
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=100,0.7546,0.7579
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=150,0.7511,0.7575
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=200,0.7741,0.7571
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=150,0.7764,0.7566
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=200,0.7626,0.7556
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=100,0.7603,0.7544
